Time (TU),X (LU),Y (LU),Z (LU),VX (LU/TU),VY (LU/TU),VZ (LU/TU)
0.160979926405267,0.8177682873156703,0.0811202008709006,3.868868820790626e-25,0.11629151066110614,0.4795691583648526,-3.886172218517505e-25
0.166877825410225,0.8184658192168658,0.08394097517250597,3.8457127240317345e-25,0.12023930085467004,0.47695332330081835,-3.9659798868918817e-25
0.1727913980146928,0.8191884934985064,0.08675352954625305,3.8220255234247918e-25,0.12416776053742992,0.4742540826118434,-4.044979303461157e-25
0.17871979874527646,0.8199362086457779,0.08955689033179166,3.797813064306073e-25,0.1280756435001982,0.4714727863042511,-4.1231406501828234e-25
0.18466218309500784,0.8207088451883435,0.0923500958168721,3.7730815960988185e-25,0.13196175410305283,0.4686108514197595,-4.200435799090383e-25
0.19061770813737586,0.8215062661372752,0.09513219738960983,3.74783775664597e-25,0.1358249477376925,0.4656697569980864,-4.276838327465762e-25
0.1965855537736273,0.8223283203307468,0.0979022701889899,3.722088466098303e-25,0.13966414425299792,0.46265102846483636,-4.352323784693241e-25
0.20256493908829915,0.823174845574745,0.1006594210745814,3.6958408326603293e-25,0.14347833735910567,0.4595562231528581,-4.426869868942294e-25
0.2085551221727659,0.8240456697213127,0.10340278867771936,3.6691021255883004e-25,0.14726659286271399,0.4563869237035467,-4.500456377959424e-25
0.21455541202554343,0.8249406135580039,0.1061315488490727,3.6418796934209507e-25,0.1510280542372925,0.4531447251253034,-4.573065299106923e-25
0.22056517723585023,0.8258594934546372,0.1088449183452938,3.6141808924946905e-25,0.1547619456221807,0.449831223121149,-4.644680842898194e-25
0.2265838487579486,0.8268021232476228,0.11154215561373315,3.5860130403494075e-25,0.15846757074355114,0.44644800552907205,-4.71528939342503e-25
0.23261092636469502,0.8277683167566617,0.11422256305634136,3.5573833512761472e-25,0.16214431383469055,0.44299664182053966,-4.784879493854475e-25
0.23864598138175033,0.8287578897970084,0.11688548743054725,3.5282988882698907e-25,0.16579163798400265,0.43947867476695973,-4.853441779601417e-25
0.24468865504040224,0.8297706614747897,0.11953031818701877,3.4987665365956376e-25,0.16940908068764474,0.4358956149640781,-4.920968857409984e-25
